NOME;EMAIL;CPF;TELEFONE
Ana Silva;parceiro001.teste@exemplo.com.br;10433218100;(62)96912-1520
Beatriz Pereira;parceiro002.teste@exemplo.com.br;01338908308;(85)96873-4611
Carla Martins;parceiro003.teste@exemplo.com.br;79402654232;(41)95514-2674
Daniela Cardoso;parceiro004.teste@exemplo.com.br;16155940789;(85)92045-7201
Fernanda Duarte;parceiro005.teste@exemplo.com.br;18495931087;(41)94741-2307
Gabriela Machado;parceiro006.teste@exemplo.com.br;31647525551;(41)94374-2169
Helena Borges;parceiro007.teste@exemplo.com.br;92832764851;(41)95313-1916
Isabela Sales;parceiro008.teste@exemplo.com.br;30564139580;(41)98179-7482
Juliana Rezende;parceiro009.teste@exemplo.com.br;72423884907;(71)99560-7543
Larissa Pinheiro;parceiro010.teste@exemplo.com.br;53287101269;(31)96916-2040
Mariana Furtado;parceiro011.teste@exemplo.com.br;66978480142;(85)94371-6573
Natália Medeiros;parceiro012.teste@exemplo.com.br;14627048246;(85)91743-5889
Patrícia Torres;parceiro013.teste@exemplo.com.br;89325288028;(62)95310-9005
Rafaela Abreu;parceiro014.teste@exemplo.com.br;01543039170;(21)97962-2133
Sabrina Horta;parceiro015.teste@exemplo.com.br;82278248979;(71)93470-9835
Tatiana Otto;parceiro016.teste@exemplo.com.br;34657871374;(41)91049-6539
Vanessa Oliveira;parceiro017.teste@exemplo.com.br;09839301047;(41)91104-1514
Yasmin Gomes;parceiro018.teste@exemplo.com.br;51834738202;(62)99440-8744
Bruna Dias;parceiro019.teste@exemplo.com.br;37631165670;(71)97651-1887
Camila Freitas;parceiro020.teste@exemplo.com.br;10651333830;(81)92296-7912
Débora Melo;parceiro021.teste@exemplo.com.br;24731781000;(85)90241-2528
Elaine Costa;parceiro022.teste@exemplo.com.br;32677360217;(71)90035-7396
Fabiana Cunha;parceiro023.teste@exemplo.com.br;47468723419;(41)90958-9883
Graziela Pires;parceiro024.teste@exemplo.com.br;05009788241;(11)98320-2312
Ingrid Matos;parceiro025.teste@exemplo.com.br;21913619354;(62)99740-1651
Joyce Amaral;parceiro026.teste@exemplo.com.br;91699854300;(61)93910-5351
Kelly Holanda;parceiro027.teste@exemplo.com.br;62475107995;(62)91638-2200
Letícia Ornellas;parceiro028.teste@exemplo.com.br;83842513550;(51)92584-8179
Mirela Vilela;parceiro029.teste@exemplo.com.br;84980841210;(51)91891-2753
Noemi Cruz;parceiro030.teste@exemplo.com.br;82449353402;(85)98004-5114
Olívia Jordão;parceiro031.teste@exemplo.com.br;01640052429;(31)97239-8007
Priscila Queiroz;parceiro032.teste@exemplo.com.br;80112805973;(85)92426-8041
Renata Rodrigues;parceiro033.teste@exemplo.com.br;20450533182;(61)99173-7658
Simone Carvalho;parceiro034.teste@exemplo.com.br;92322602558;(71)94065-5371
Tânia Mendes;parceiro035.teste@exemplo.com.br;21607337509;(51)93728-4652
Úrsula Ramos;parceiro036.teste@exemplo.com.br;03654145817;(71)98785-6425
Vitória Araújo;parceiro037.teste@exemplo.com.br;01429401940;(71)95663-6139
Wagner Nogueira;parceiro038.teste@exemplo.com.br;69816934027;(71)90027-9518
Xavier Farias;parceiro039.teste@exemplo.com.br;83561595120;(51)98308-6067
Yuri Xavier;parceiro040.teste@exemplo.com.br;65648236654;(31)99324-5930
Zeca Henriques;parceiro041.teste@exemplo.com.br;68044369970;(61)97618-8238
Lucas Câmara;parceiro042.teste@exemplo.com.br;73872148915;(61)91530-4848
Marcos Junqueira;parceiro043.teste@exemplo.com.br;43320037994;(21)97461-7790
Pedro Queiroz;parceiro044.teste@exemplo.com.br;93676320107;(71)93585-3881
Paulo Ximenes;parceiro045.teste@exemplo.com.br;87083172757;(85)99157-6198
Bruno Espírito;parceiro046.teste@exemplo.com.br;79868727723;(51)94050-5543
Caio Leal;parceiro047.teste@exemplo.com.br;87347143403;(61)95238-9849
Davi Silva;parceiro048.teste@exemplo.com.br;12236231652;(71)95421-9890
Enzo Alves;parceiro049.teste@exemplo.com.br;76036690908;(71)97814-1096
Fábio Lopes;parceiro050.teste@exemplo.com.br;54668893773;(41)94471-8140
Gustavo Moreira;parceiro051.teste@exemplo.com.br;70656272929;(85)90441-7455
Hugo Correia;parceiro052.teste@exemplo.com.br;99016272062;(51)96211-6363
Igor Campos;parceiro053.teste@exemplo.com.br;37556464121;(81)90317-9837
João Tavares;parceiro054.teste@exemplo.com.br;05310033025;(62)92496-4908
Kleber Aguiar;parceiro055.teste@exemplo.com.br;27193745204;(62)99949-2876
Leandro Barros;parceiro056.teste@exemplo.com.br;24190496677;(41)91245-4978
Mateus Magalhães;parceiro057.teste@exemplo.com.br;14919058675;(61)91129-9289
Nelson Esteves;parceiro058.teste@exemplo.com.br;50671657232;(71)92885-9548
Otávio Lacerda;parceiro059.teste@exemplo.com.br;49877694506;(41)91419-5569
Rafael Silveira;parceiro060.teste@exemplo.com.br;73799650776;(61)92979-8988
Samuel Zanetti;parceiro061.teste@exemplo.com.br;35454948020;(85)93130-2402
Thiago Gomes;parceiro062.teste@exemplo.com.br;36783777006;(21)94820-4630
Ulisses Neto;parceiro063.teste@exemplo.com.br;63495788565;(71)99017-6419
Vinícias Santos;parceiro064.teste@exemplo.com.br;57444313571;(21)98779-4033
Wilian Lima;parceiro065.teste@exemplo.com.br;33749894116;(41)94853-4727
André Rocha;parceiro066.teste@exemplo.com.br;52408240026;(85)94786-3068
Antonio Teixeira;parceiro067.teste@exemplo.com.br;71094777544;(31)90841-5136
Bernardo Castro;parceiro068.teste@exemplo.com.br;71167190246;(31)99221-5978
Carlos Vieira;parceiro069.teste@exemplo.com.br;13186999324;(85)96232-8381
Diego Miranda;parceiro070.teste@exemplo.com.br;74964990990;(21)93404-4457
Eduardo Coelho;parceiro071.teste@exemplo.com.br;41232812064;(71)97381-8699
Felipe Antunes;parceiro072.teste@exemplo.com.br;40344713440;(62)93241-7965
Gabriel Teles;parceiro073.teste@exemplo.com.br;18324210237;(51)99749-5728
Henrique Goulart;parceiro074.teste@exemplo.com.br;71746488786;(81)91317-1653
Ivan Noronha;parceiro075.teste@exemplo.com.br;65940139981;(11)94415-1659
José Urbano;parceiro076.teste@exemplo.com.br;27874296702;(21)97700-6700
Leonardo Bastos;parceiro077.teste@exemplo.com.br;65512567403;(71)99012-1601
Maurício Ilha;parceiro078.teste@exemplo.com.br;71545168016;(85)97569-7770
Nicolas Pena;parceiro079.teste@exemplo.com.br;03859770349;(51)98998-3146
Orlando Souza;parceiro080.teste@exemplo.com.br;47710932452;(85)90224-7684
Ricardo Ribeiro;parceiro081.teste@exemplo.com.br;13171274809;(51)96807-8905
Sergio Barbosa;parceiro082.teste@exemplo.com.br;73782639820;(31)91143-5526
Tomás Cavalcanti;parceiro083.teste@exemplo.com.br;65840449989;(81)92434-8316
Vicente Pinto;parceiro084.teste@exemplo.com.br;87558867525;(41)93912-7274
William Fonseca;parceiro085.teste@exemplo.com.br;36057662776;(11)92068-9229
Adrian Peixoto;parceiro086.teste@exemplo.com.br;95171870250;(71)92529-2225
Bruno Morais;parceiro087.teste@exemplo.com.br;74596158622;(61)97994-9864
Ana Figueiredo;parceiro088.teste@exemplo.com.br;09134316132;(21)97269-3725
Beatriz Bittencourt;parceiro089.teste@exemplo.com.br;40050455613;(31)94000-9702
Carla Igrejas;parceiro090.teste@exemplo.com.br;69222196945;(41)98153-3344
Daniela Paiva;parceiro091.teste@exemplo.com.br;37474074800;(31)91210-8237
Fernanda Weber;parceiro092.teste@exemplo.com.br;59464743670;(81)91747-4886
